"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","板快行情","全部股板行情数据_HS_10:量比","0","0","1","0","0"
"","k线","周K查询_SZ个股","0","0","1","0","0"
"","板快行情","全部股板行情数据_US5:成交额","0","0","1","0","0"
"","A股","个股研报分页查询","0","0","1","0","0"
"","A股","个股相关分红派息公告查询","1","0","0","0","0"
"","板快行情","全部股板行情数据_US3:现价","0","0","1","0","0"
"","k线","最新日K_US大盘","1","0","0","0","0"
"","k线","分时查询_HK大盘","1","0","0","0","0"
"","板快行情","查询行业板块行情列表_HS","0","0","1","0","0"
"","A股","A股F10获取资产负债详情页数据","0","0","1","0","0"
"","板快行情","全部股板行情数据_HS4:成交量","0","0","1","0","0"
"","","自选股股票列表_SZ","0","0","1","0","0"
"","板快行情","获取板数据列表_HS科创板","0","0","1","0","0"
"","k线","最新日K_SZ个股","1","0","0","0","0"
"","板快行情","新股日历获取可认购列表","0","0","1","0","0"
"","k线","分时查询_优化版本 Version 2.0_SH个股","1","0","0","0","0"
"","板快行情","全部股板行情数据_HK2:涨跌价","0","0","1","0","0"
"","板快行情","查询股票市场涨跌概况_参数为4","1","0","0","0","0"
"","A股","分红派息-详情页","0","0","1","0","0"
"","","删除自选股_All","1","0","0","0","0"
"","k线","分时查询_优化版本 Version 2.0_HK大盘","0","0","1","0","0"
"","A股","F10简况","0","0","1","0","0"
"","","同步自选股_All","0","0","1","0","0"
"","k线","分时查询_优化版本 Version 2.0_US个股","0","0","1","0","0"
"","k线","日K查询_US大盘","1","0","0","0","0"
"","板快行情","查询行业板块行情列表_HK","0","0","1","0","0"
"","k线","蜡烛图1分钟查询_优化版本 Version 2.0_US","1","0","0","0","0"
"","板快行情","全部股板行情数据_HK8:振幅","0","0","1","0","0"
"","板快行情","全部股板行情数据_HS2:涨跌价","0","0","1","0","0"
"","板快行情","查询板块详情页成分股列表_HS行业","0","0","1","0","0"
"","板快行情","全部股板行情数据_US8:振幅","0","0","1","0","0"
"","板快行情","获取板数据列表_HK主板","0","0","1","0","0"
"","k线","月K查询_SH个股","0","0","1","0","0"
"","板快行情","全部股板行情数据_US_10:量比","0","0","1","0","0"
"","板快行情","查询概念板块行情列表数据_US","0","0","1","0","0"
"","k线","蜡烛图1分钟查询_优化版本 Version 2.0_SZ","1","0","0","0","0"
"","k线","带蜡烛图的分钟查询_US","0","0","1","0","0"
"","k线","月K查询_HK个股","0","0","1","0","0"
"","","自选股股票列表_SZ&SH","0","0","1","0","0"
"","板快行情","全部股板行情数据_HS6:市盈率","0","0","1","0","0"
"","k线","日K查询_HK大盘","0","0","1","0","0"
"","板快行情","全部股板行情数据_HK3:现价","0","0","1","0","0"
"","板快行情","获取板数据列表_HS主板","0","0","1","0","0"
"","k线","月K查询_SZ个股","0","0","1","0","0"
"","板快行情","全部股板行情数据_HK_10:量比","0","0","1","0","0"
"","板快行情","全部股板行情数据_HK4:成交量","0","0","1","0","0"
"","板快行情","全部股板行情数据_HS11:委比","0","0","1","0","0"
"","板快行情","全部股板行情数据_US6:市盈率","0","0","1","0","0"
"","k线","日K查询_HK个股","1","0","0","0","0"
"","板快行情","全部股板行情数据_HK5:成交额","0","0","1","0","0"
"","k线","年K查询_US大盘","1","0","0","0","0"
"","","添加自选股_HK大盘","0","0","1","0","0"
"","板快行情","查询板块详情页成分股列表_US行业","0","0","1","0","0"
"","k线","蜡烛图1分钟查询_优化版本 Version 2.0_SH","1","0","0","0","0"
"","k线","五日查询_优化版本 Version 2.0_US大盘","0","1","0","0","0"
"","板快行情","查询行业板块行情列表_US","0","0","1","0","0"
"","k线","最新日K_HK大盘","1","0","0","0","0"
"","板快行情","全部股板行情数据_HK6:市盈率","0","0","1","0","0"
"","k线","周K查询_SZ大盘","0","0","1","0","0"
"","k线","年K查询_SH大盘","0","0","1","0","0"
